Genre,Total movies with this genre,Title,Year,Length,Rating
action,51732,Black Adam,2022,7.1,125
action,51732,The School for Good and Evil,2022,5.8,147
action,51732,Kantara,2022,9.1,148
action,51732,Im Westen nichts Neues,2022,7.9,148
action,51732,Bullet Train,2022,7.3,127
action,51732,Top Gun: Maverick,2022,8.4,130
action,51732,Everything Everywhere All at Once,2022,8.1,139
action,51732,The Northman,2022,7.1,137
action,51732,Thor: Love and Thunder,2022,6.4,118
action,51732,The Woman King,2022,6.7,135
action,51732,The Batman,2022,7.9,176
action,51732,Top Gun,1986,6.9,110
action,51732,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178
action,51732,The Lost City,2022,6.1,112
action,51732,Ram Setu,2022,5.2,140
action,51732,Blade of the 47 Ronin,2022,4.6,107
action,51732,Prey,2022,7.2,99
action,51732,Jurassic World: Dominion,2022,5.7,147
action,51732,Uncharted,2022,6.3,116
action,51732,Spider-Man: No Way Home,2021,8.3,148
action,51732,Lou,2022,6.1,107
action,51732,DC League of Super-Pets,2022,7.3,105
action,51732,Detective Knight: Rogue,2022,3.5,105
action,51732,The Gray Man,2022,6.5,122
action,51732,Ghostbusters,1984,7.8,105
action,51732,Dune: Part One,2021,8.0,155
action,51732,The Lair,2022,4.6,96
action,51732,Avengers: Endgame,2019,8.4,181
action,51732,The Dark Knight,2008,9.0,152
action,51732,Rogue One,2016,7.8,133
action,51732,Blackout,2022,3.8,81
action,51732,The Unbearable Weight of Massive Talent,2022,7.0,107
action,51732,Avatar,2009,7.8,162
action,51732,Doctor Strange in the Multiverse of Madness,2022,6.9,126
action,51732,Black Panther,2018,7.3,134
action,51732,Last Seen Alive,2022,5.6,95
action,51732,Enola Holmes 2,2022,6.9,129
action,51732,The Legend of Maula Jatt,2022,8.9,153
action,51732,No Time to Die,2021,7.3,163
action,51732,Memory,2022,5.7,114
action,51732,Inception,2010,8.8,148
action,51732,The Lord of the Rings: The Return of the King,2003,9.0,201
action,51732,RRR (Rise Roar Revolt),2022,8.0,187
action,51732,Morbius,2022,5.2,104
action,51732,Shazam!,2019,7.0,132
action,51732,The Suicide Squad,2021,7.2,132
action-comedy,499375,Black Adam,2022,7.1,125
action-comedy,499375,Barbarian,2022,7.2,102
action-comedy,499375,Terrifier 2,2022,6.4,138
action-comedy,499375,The School for Good and Evil,2022,5.8,147
